time,server,request_count,avg_response_time,error_rate,max_response_time,min_response_time,success_rate
06:00,192.168.37.133:80,3,1.0,0.0,1,1,1.0
06:00,192.168.37.134:80,3,1.0,0.0,1,1,1.0
06:30,192.168.37.133:80,4,1.0,0.0,1,1,1.0
06:30,192.168.37.134:80,4,1.0,0.0,1,1,1.0
07:00,192.168.37.133:80,5,1.0,0.0,1,1,1.0
07:00,192.168.37.134:80,5,1.0,0.0,1,1,1.0
07:30,192.168.37.133:80,5,1.0,0.0,1,1,1.0
07:30,192.168.37.134:80,5,1.0,0.0,1,1,1.0
08:00,192.168.37.133:80,6,1.0,0.0,1,1,1.0
08:00,192.168.37.134:80,6,1.0,0.0,1,1,1.0
08:30,192.168.37.133:80,7,1.0,0.0,1,1,1.0
08:30,192.168.37.134:80,7,1.0,0.0,1,1,1.0
09:00,192.168.37.133:80,8,1.0,0.0,1,1,1.0
09:00,192.168.37.134:80,8,1.0,0.0,1,1,1.0
09:30,192.168.37.133:80,8,1.0,0.0,1,1,1.0
09:30,192.168.37.134:80,8,1.0,0.0,1,1,1.0
10:00,192.168.37.133:80,9,1.0,0.0,1,1,1.0
10:00,192.168.37.134:80,9,1.0,0.0,1,1,1.0
10:30,192.168.37.133:80,9,1.0,0.0,1,1,1.0
10:30,192.168.37.134:80,9,1.0,0.0,1,1,1.0
11:00,192.168.37.133:80,10,1.0,0.0,1,1,1.0
11:00,192.168.37.134:80,10,1.0,0.0,1,1,1.0
11:30,192.168.37.133:80,10,1.0,0.0,1,1,1.0
11:30,192.168.37.134:80,10,1.0,0.0,1,1,1.0
12:00,192.168.37.133:80,10,1.0,0.0,1,1,1.0
12:00,192.168.37.134:80,10,1.0,0.0,1,1,1.0
12:30,192.168.37.133:80,10,1.0,0.0,1,1,1.0
12:30,192.168.37.134:80,10,1.0,0.0,1,1,1.0
13:00,192.168.37.133:80,10,1.0,0.0,1,1,1.0
13:00,192.168.37.134:80,10,1.0,0.0,1,1,1.0
13:30,192.168.37.133:80,9,1.0,0.0,1,1,1.0
13:30,192.168.37.134:80,9,1.0,0.0,1,1,1.0
14:00,192.168.37.133:80,9,1.0,0.0,1,1,1.0
14:00,192.168.37.134:80,9,1.0,0.0,1,1,1.0
14:30,192.168.37.133:80,8,1.0,0.0,1,1,1.0
14:30,192.168.37.134:80,8,1.0,0.0,1,1,1.0
15:00,192.168.37.133:80,8,1.0,0.0,1,1,1.0
15:00,192.168.37.134:80,8,1.0,0.0,1,1,1.0
15:30,192.168.37.133:80,7,1.0,0.0,1,1,1.0
15:30,192.168.37.134:80,7,1.0,0.0,1,1,1.0
16:00,192.168.37.133:80,6,1.0,0.0,1,1,1.0
16:00,192.168.37.134:80,6,1.0,0.0,1,1,1.0
16:30,192.168.37.133:80,5,1.0,0.0,1,1,1.0
16:30,192.168.37.134:80,5,1.0,0.0,1,1,1.0
17:00,192.168.37.133:80,5,1.0,0.0,1,1,1.0
17:00,192.168.37.134:80,5,1.0,0.0,1,1,1.0
17:30,192.168.37.133:80,4,1.0,0.0,1,1,1.0
17:30,192.168.37.134:80,4,1.0,0.0,1,1,1.0
18:00,192.168.37.133:80,3,1.0,0.0,1,1,1.0
18:00,192.168.37.134:80,3,1.0,0.0,1,1,1.0
18:30,192.168.37.133:80,3,1.0,0.0,1,1,1.0
18:30,192.168.37.134:80,3,1.0,0.0,1,1,1.0
19:00,192.168.37.133:80,2,1.0,0.0,1,1,1.0
19:00,192.168.37.134:80,2,1.0,0.0,1,1,1.0
19:30,192.168.37.133:80,2,1.0,0.0,1,1,1.0
19:30,192.168.37.134:80,2,1.0,0.0,1,1,1.0
19:50,192.168.37.133:80,1,1.0,0.0,1,1,1.0
19:50,192.168.37.134:80,1,1.0,0.0,1,1,1.0
19:51,-,1,1.0,0.0,1,1,1.0
19:51,192.168.37.133:80,1,1.0,0.0,1,1,1.0
19:51,192.168.37.134:80,1,1.0,0.0,1,1,1.0
20:00,192.168.37.133:80,1,1.0,0.0,1,1,1.0
20:00,192.168.37.134:80,1,1.0,0.0,1,1,1.0
20:30,192.168.37.133:80,1,1.0,0.0,1,1,1.0
20:30,192.168.37.134:80,1,1.0,0.0,1,1,1.0
21:00,192.168.37.133:80,1,1.0,0.0,1,1,1.0
21:00,192.168.37.134:80,1,1.0,0.0,1,1,1.0
21:30,192.168.37.133:80,1,1.0,0.0,1,1,1.0
21:30,192.168.37.134:80,1,1.0,0.0,1,1,1.0
22:00,192.168.37.133:80,1,1.0,0.0,1,1,1.0
22:00,192.168.37.134:80,1,1.0,0.0,1,1,1.0
22:30,192.168.37.133:80,1,1.0,0.0,1,1,1.0
22:30,192.168.37.134:80,1,1.0,0.0,1,1,1.0
23:00,192.168.37.133:80,1,1.0,0.0,1,1,1.0
23:00,192.168.37.134:80,1,1.0,0.0,1,1,1.0
23:30,192.168.37.133:80,1,1.0,0.0,1,1,1.0
23:30,192.168.37.134:80,1,1.0,0.0,1,1,1.0
